acronym,total_counts
"בדאע""ש",32.0
"מב""מ",12.0
"לש""ס",16.0
"דאע""ש",224.0
"מאע""מ",17.0
"מד""ע",37.0
"י""פ",23.0
"אל""מ",12.0
"התשנ""ב",9.0
"חל""ת",8.0
"פח""ע",9.0
"ה""פדאיון",6.0
"סל""ע",23.0
"המנהא""ז",22.0
"פיב""א",49.0
"בר""ת",19.0
"ב""עוטף",9.0
"ודאע""ש",8.0
"תקש""ח",7.0
"האדמו""רים",49.0
"ממכ""ם",7.0
"שסבא""א",6.0
"ל""אבי",18.0
"תשט""ז",92.0
"כ""לבנת",6.0
"נצ""ח",7.0
"בחל""כ",15.0
"קופ""ח",7.0
"הבה""ד",13.0
"באש""פ",8.0
"במל""טים",7.0
"ארמק""ו",7.0
"ו""בין",6.0
"ב""עופרת",9.0
"ליוניפי""ל",10.0
"אנדו""ף",18.0
"וחי""ר",18.0
"ל""לא",14.0
"ה""שהאב",6.0
"הסד""כ",11.0
"סנטקו""ם",6.0
"ב""אחר",6.0
"לבה""ד",7.0
"תמ""ס",9.0
"ה""סטנד",7.0
"ו""רשת",18.0
"מב""ם",7.0
"בה""ד",49.0
"הרא""ש",136.0
"המב""ם",16.0
"צל""ב",8.0
"לצל""ב",10.0
"ב""שכירי",8.0
"מדו""ח",14.0
"המל""ת",20.0
"שצה""ל",126.0
"הכב""מ",7.0
"ל""כוח",9.0
"ה""כוח",38.0
"ב""ידיעות",46.0
"ע""א",56.0
"ל""קבוצת",9.0
"החי""ר",293.0
"ב""לה",12.0
"לפיפ""א",13.0
"ל""מי",7.0
"ה""בית",23.0
"תשע""ג",226.0
"הרי""ף",99.0
"ה""טור",8.0
"מ""בית",13.0
"ה""שולחן",10.0
"מבית""ר",9.0
"כ""אנשי",7.0
"טק""א",8.0
"נל""א",8.0
"ה""חץ",14.0
"הש""י",93.0
"תש""ז",137.0
"ע""ו",13.0
"כ""מדינת",16.0
"תשמ""ז",128.0
"תשי""ט",107.0
"ב""תחום",13.0
"הממ""ד",8.0
"תשל""ו",127.0
"ש""איש",7.0
"תנ""כי",23.0
"עפ""י",22.0
"בג""צ",8.0
"ש""כל",29.0
"תש""ן",115.0
"קכ""ב",8.0
"סכו""ם",6.0
"ב""הד",7.0
"ל""מוסד",7.0
"תשנ""ח",185.0
"אח""י",197.0
"ב""מועדון",8.0
"המפד""ל",269.0
"מפד""ל",62.0
"בבי""ס",8.0
"הח""כ",7.0
"ב""ניו",18.0
"ו""שיר",34.0
"כ""זמר",7.0
"מהמפד""ל",37.0
"כ""שיר",20.0
"והאדמו""ר",15.0
"גל""צ",32.0
"כיו""ר",330.0
"והמפד""ל",21.0
"שהנ""ל",6.0
"ומתנ""ס",8.0
"מטכ""ל",311.0
"ב""ק",20.0
"קי""א",7.0
"ובחו""ל",41.0
"לאח""י",8.0
"תקפ""ז",6.0
"תרל""א",10.0
"לרש""י",39.0
"לעו""ד",15.0
"במפד""ל",16.0
"המח""ל",14.0
"המהר""ש",13.0
"בבית""ר",36.0
"תרכ""ו",21.0
"תר""ז",8.0
"מהר""ש",8.0
"כ""ק",8.0
"המפח""ש",16.0
"מז""י",14.0
"אופ""א",468.0
