,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
284,"ומע""מ",8.0,0.0,0.0,0.0,8.0
285,"ב""דרך",13.0,0.0,0.0,0.0,13.0
286,"ח""ב",13.0,0.0,0.0,0.0,13.0
287,"לרמטכ""ל",125.0,15.0,1.0,0.0,141.0
288,"ועו""ד",12.0,0.0,0.0,0.0,12.0
289,"פס""ד",14.0,0.0,0.0,0.0,14.0
290,"א""ע",11.0,0.0,0.0,0.0,11.0
291,"תרי""א",7.0,0.0,0.0,0.0,7.0
292,"הנח""לאים",14.0,0.0,0.0,0.0,14.0
293,"כשצה""ל",3.0,3.0,0.0,0.0,6.0
294,"אב""ד",76.0,0.0,0.0,0.0,76.0
295,"החת""ם",48.0,0.0,0.0,0.0,48.0
296,"והרמטכ""ל",54.0,13.0,0.0,0.0,67.0
297,"הרש""ש",23.0,0.0,0.0,0.0,23.0
298,"ת""פ",16.0,0.0,0.0,0.0,16.0
299,"תקל""ז",6.0,0.0,0.0,0.0,6.0
300,"יו""ש",25.0,2.0,0.0,0.0,27.0
301,"ש""י",191.0,1.0,0.0,0.0,192.0
302,"רשו""ת",8.0,0.0,0.0,0.0,8.0
303,"ני""ע",7.0,0.0,0.0,0.0,7.0
304,"האק""ג",8.0,0.0,0.0,0.0,8.0
305,"רוה""מ",5.0,0.0,2.0,0.0,7.0
306,"חל""צ",6.0,0.0,0.0,0.0,6.0
307,"ביו""ש",17.0,10.0,0.0,0.0,27.0
308,"ונח""ל",11.0,0.0,0.0,0.0,11.0
309,"המזכ""ל",38.0,10.0,0.0,0.0,48.0
310,"בבג""ץ",74.0,9.0,0.0,0.0,83.0
311,"הבט""ש",19.0,0.0,0.0,0.0,19.0
312,"ביש""ע",30.0,0.0,0.0,0.0,30.0
313,"רא""ם",41.0,0.0,0.0,0.0,41.0
314,"המל""ג",16.0,0.0,0.0,0.0,16.0
315,"מל""ג",6.0,0.0,0.0,0.0,6.0
316,"פא""י",30.0,0.0,0.0,0.0,30.0
317,"דו""חות",84.0,8.0,0.0,0.0,92.0
318,"הרש""פ",4.0,33.0,0.0,0.0,37.0
319,"הבית""רי",20.0,0.0,0.0,0.0,20.0
320,"הלמ""ס",87.0,25.0,0.0,0.0,112.0
321,"בת""א",45.0,0.0,0.0,0.0,45.0
322,"צל""ש",160.0,0.0,0.0,0.0,160.0
323,"מע""מ",61.0,7.0,0.0,0.0,68.0
324,"ורס""ן",6.0,5.0,0.0,0.0,11.0
325,"ב""מאזנים",14.0,0.0,0.0,0.0,14.0
326,"מק""י",112.0,0.0,0.0,0.0,112.0
