base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"בג""ד","['בג""ד']",23.0,0.0,0.0,0.0,23.0,1
"בג""ץ","['בג""ץ', 'לבג""ץ', 'הבג""ץ', 'בבג""ץ', 'שבג""ץ', 'כבג""ץ', 'ובג""ץ', 'מבג""ץ']",904.0,65.0,0.0,0.0,969.0,8
"בג""צ","['בג""צ']",1.0,7.0,0.0,0.0,8.0,1
"בג""צים","['הבג""צים']",6.0,1.0,0.0,0.0,7.0,1
"בד""כ","['בד""כ', 'ובד""כ']",81.0,2.0,0.0,0.0,83.0,2
"בד""ץ","['בד""ץ', 'הבד""ץ']",48.0,0.0,0.0,0.0,48.0,2
"בד""צ","['הבד""צ']",9.0,0.0,0.0,0.0,9.0,1
"בדר""כ","['בדר""כ']",25.0,0.0,0.0,0.0,25.0,1
"בה""ב","['בה""ב']",5.0,0.0,0.0,0.0,5.0,1
"בה""ג","['בה""ג']",12.0,0.0,0.0,0.0,12.0,1
"בה""ד","['בבה""ד', 'הבה""ד', 'לבה""ד', 'בה""ד']",136.0,0.0,0.0,0.0,136.0,4
"בה""דים","['הבה""דים']",17.0,0.0,0.0,0.0,17.0,1
"בהל""ץ","['בבהל""ץ']",7.0,0.0,0.0,0.0,7.0,1
"בהר""ן","['בהר""ן']",10.0,0.0,0.0,0.0,10.0,1
"בומ""פ","['בומ""פ']",4.0,0.0,0.0,0.0,4.0,1
"בז""ן","['בז""ן']",4.0,0.0,0.0,0.0,4.0,1
"בט""ש","['הבט""ש']",19.0,0.0,0.0,0.0,19.0,1
"בי""ח","['בי""ח']",27.0,0.0,0.0,0.0,27.0,1
"בי""ס","['ובי""ס', 'בי""ס', 'בבי""ס', 'כבי""ס']",73.0,0.0,0.0,0.0,73.0,4
"בי""ת","['בי""ת']",18.0,0.0,1.0,0.0,19.0,1
"ביה""ד","['ביה""ד']",18.0,0.0,0.0,0.0,18.0,1
"ביה""ס","['ביה""ס']",2.0,1.0,1.0,0.0,4.0,1
"ביהמ""ד","['ביהמ""ד']",4.0,0.0,0.0,0.0,4.0,1
"ביהמ""ש","['ביהמ""ש']",18.0,2.0,0.0,0.0,20.0,1
"ביל""ו","['ביל""ו']",82.0,0.0,0.0,0.0,82.0,1
"ביל""ויים","['והביל""ויים', 'הביל""ויים']",38.0,0.0,0.0,0.0,38.0,2
"בינ""ה","['בינ""ה']",12.0,0.0,0.0,0.0,12.0,1
"בינ""ל","['בינ""ל']",17.0,5.0,0.0,0.0,22.0,1
"ביסלמ""ח","['ביסלמ""ח']",9.0,0.0,0.0,0.0,9.0,1
"בית""ר","['בית""רי', 'בבית""ר', 'לבית""ר', 'מבית""ר', 'ובית""ר', 'בית""ר']",844.0,0.0,0.0,0.0,844.0,6
"בית""רי","['הבית""רי']",20.0,0.0,0.0,0.0,20.0,1
"בית""רים","['בית""רים', 'הבית""רים']",26.0,0.0,0.0,0.0,26.0,2
"בית""רית","['הבית""רית']",4.0,0.0,0.0,0.0,4.0,1
"בל""ד","['ובל""ד', 'לבל""ד', 'בל""ד']",48.0,22.0,0.0,0.0,70.0,3
"במב""ם","['במב""ם']",2.0,2.0,0.0,0.0,4.0,1
"בנ""י","['בנ""י']",4.0,0.0,0.0,0.0,4.0,1
"בנק""י","['בבנק""י']",4.0,0.0,0.0,0.0,4.0,1
"בס""ד","['בס""ד']",10.0,0.0,0.0,0.0,10.0,1
"בע""ה","['בע""ה']",6.0,0.0,0.0,0.0,6.0,1
"בע""ח","['בבע""ח', 'בע""ח', 'לבע""ח']",22.0,0.0,0.0,0.0,22.0,3
"בע""מ","['בע""מ']",409.0,1.0,0.0,0.0,410.0,1
"בע""פ","['שבע""פ']",7.0,0.0,0.0,0.0,7.0,1
"בעש""ט","['הבעש""ט', 'לבעש""ט', 'בעש""ט']",128.0,0.0,0.0,0.0,128.0,3
"בצל""ש","['בצל""ש']",47.0,0.0,0.0,0.0,47.0,1
"בקו""ם","['הבקו""ם']",3.0,1.0,0.0,0.0,4.0,1
"ברה""מ","['ברה""מ']",5.0,0.0,0.0,0.0,5.0,1
"ברק""ם","['ברק""ם']",4.0,1.0,0.0,0.0,5.0,1
"ג""א","['הג""א']",23.0,2.0,0.0,0.0,25.0,1
"ג""ח","['מג""ח']",5.0,0.0,0.0,0.0,5.0,1
"ג""ט","['ג""ט']",6.0,0.0,0.0,0.0,6.0,1
"גא""פ","['גא""פ', 'הגא""פ', 'לגא""פ']",29.0,31.0,0.0,0.0,60.0,3
"גאב""ד","['הגאב""ד', 'גאב""ד']",13.0,0.0,0.0,0.0,13.0,2
"גאט""ט","['גאט""ט']",7.0,0.0,0.0,0.0,7.0,1
"גד""ש","['גד""ש']",6.0,0.0,0.0,0.0,6.0,1
"גדחה""ן","['גדחה""ן']",7.0,0.0,0.0,0.0,7.0,1
"גדכפ""ת","['בגדכפ""ת']",4.0,0.0,0.0,0.0,4.0,1
"גדנ""ע","['לגדנ""ע', 'גדנ""ע', 'בגדנ""ע', 'הגדנ""ע']",213.0,0.0,0.0,0.0,213.0,4
"גדנ""עים","['הגדנ""עים', 'גדנ""עים']",13.0,0.0,0.0,0.0,13.0,2
"גדס""ר","['גדס""ר', 'הגדס""ר', 'לגדס""ר']",43.0,0.0,0.0,0.0,43.0,3
"גו""ח","['גו""ח']",4.0,0.0,0.0,0.0,4.0,1
"גח""ל","['וגח""ל', 'גח""ל', 'הגח""ל']",140.0,0.0,0.0,0.0,140.0,3
"גיי""א","['גיי""א']",4.0,0.0,0.0,0.0,4.0,1
"גיכ""ק","['גיכ""ק']",5.0,0.0,0.0,0.0,5.0,1
"גימ""ל","['גימ""ל']",11.0,0.0,0.0,0.0,11.0,1
"גל""ץ","['גל""ץ']",11.0,0.0,0.0,0.0,11.0,1
"גל""צ","['בגל""צ', 'גל""צ']",43.0,0.0,0.0,0.0,43.0,2
"גמ""ח","['גמ""ח']",5.0,0.0,0.0,0.0,5.0,1
"גנ""א","['הגנ""א']",2.0,3.0,0.0,0.0,5.0,1
"גפ""ת","['גפ""ת']",6.0,0.0,0.0,0.0,6.0,1
"גר""א","['לגר""א', 'הגר""א']",319.0,0.0,0.0,0.0,319.0,2
"גר""ח","['הגר""ח']",9.0,0.0,0.0,0.0,9.0,1
"גר""מ","['הגר""מ']",4.0,0.0,0.0,0.0,4.0,1
"גראי""ל","['הגראי""ל']",7.0,0.0,0.0,0.0,7.0,1
"גרי""ד","['הגרי""ד']",16.0,0.0,0.0,0.0,16.0,1
"גרי""ז","['הגרי""ז']",9.0,0.0,0.0,0.0,9.0,1
"ד""א","['ומד""א', 'ד""א']",19.0,0.0,0.0,0.0,19.0,2
"ד""ה","['ד""ה']",12.0,0.0,0.0,0.0,12.0,1
"ד""ל","['לד""ל']",5.0,0.0,0.0,0.0,5.0,1
"ד""ע","['מד""ע']",28.0,9.0,0.0,0.0,37.0,1
"ד""ר","['מד""ר', 'ד""ר', 'וד""ר', 'הד""ר', 'לד""ר']",2863.0,125.0,6.0,2.0,2996.0,5
"ד""ש","['ד""ש']",73.0,0.0,5.0,0.0,78.0,1
"דאע""ש","['לדאע""ש', 'דאע""ש', 'ודאע""ש', 'שדאע""ש', 'בדאע""ש', 'מדאע""ש']",2.0,281.0,11.0,0.0,294.0,6
"דבה""י","['דבה""י']",6.0,0.0,0.0,0.0,6.0,1
"דה""ב","['דה""ב']",13.0,0.0,0.0,0.0,13.0,1
"דו""ח","['הדו""חות', 'ובדו""ח', 'מהדו""ח', 'שהדו""ח', 'כדו""ח', 'והדו""ח', 'ודו""ח', 'דו""ח', 'בדו""ח', 'שדו""ח', 'הדו""ח', 'לדו""ח', 'מדו""ח', 'שבדו""ח']",1253.0,357.0,0.0,0.0,1610.0,14
"דו""חות","['בדו""חות', 'דו""חות', 'ודו""חות']",113.0,15.0,0.0,0.0,128.0,3
"דו""צ","['דו""צ']",3.0,2.0,0.0,0.0,5.0,1
"דוא""ל","['הדוא""ל', 'לדוא""ל', 'בדוא""ל', 'דוא""ל']",64.0,4.0,0.0,0.0,68.0,4
"דוב""ב","['דוב""ב']",7.0,0.0,0.0,0.0,7.0,1
"דח""ש","['דח""ש']",5.0,0.0,0.0,0.0,5.0,1
"דטלנ""ת","['דטלנ""ת']",5.0,0.0,0.0,0.0,5.0,1
"דל""ת","['דל""ת']",11.0,0.0,0.0,0.0,11.0,1
"דנ""א","['דנ""א', 'בדנ""א', 'הדנ""א', 'לדנ""א']",91.0,0.0,1.0,0.0,92.0,4
"דע""ת","['דע""ת']",11.0,0.0,0.0,0.0,11.0,1
"דעא""ש","['דעא""ש']",0.0,4.0,0.0,0.0,4.0,1
"דפ""ר","['ודפ""ר', 'דפ""ר']",10.0,0.0,0.0,0.0,10.0,2
"דצ""ך","['דצ""ך']",5.0,0.0,0.0,0.0,5.0,1
"דרשב""י","['דרשב""י']",4.0,0.0,0.0,0.0,4.0,1
"דש""א","['דש""א']",8.0,0.0,0.0,0.0,8.0,1
"ה""א","['בה""א', 'ה""א']",49.0,0.0,0.0,0.0,49.0,2
"ה""ג","['ה""ג']",31.0,1.0,0.0,0.0,32.0,1
